Time,Thrust
0, 0
0.01,120.55
0.02,361.65
0.03,602.75
0.04,843.85
0.05,1084.95
0.06,1326.05
0.07,1567.15
0.08,1808.25
0.09,2049.35
0.1,2290.45
0.11,2397.2
0.12,2369.6
0.13,2342
0.14,2314.4
0.15,2286.8
0.16,2259.2
0.17,2231.6
0.18,2204
0.19,2176.4
0.2,2148.8
0.21,2129
0.22,2117
0.23,2105
0.24,2093
0.25,2081
0.26,2069
0.27,2057
0.28,2045
0.29,2033
0.3,2021
0.31,2014.25
0.32,2012.75
0.33,2011.25
0.34,2009.75
0.35,2008.25
0.36,2006.75
0.37,2005.25
0.38,2003.75
0.395,2001.875
0.418,2003.826
0.451,2018.906
0.501,2041.93
0.551,2057.257
0.601,2061.558
0.651,2065.858
0.701,2070.158
0.751,2074.458
0.801,2078.758
0.851,2083.058
0.901,2087.358
0.951,2091.658
1.001,2095.949
1.051,2085.505
1.101,2061.705
1.151,2037.905
1.201,2014.105
1.251,1990.305
1.301,1966.505
1.351,1942.705
1.401,1918.905
1.451,1895.105
1.501,1871.31
1.551,1856.22
1.601,1849.02
1.649,1842.001
1.693,1835.388
1.74,1828.81
1.79,1821.826
1.84,1814.626
1.89,1807.426
1.94,1800.226
1.979,1793.819
2.018,1787.711
2.067,1777.057
2.117,1764.364
2.167,1751.464
2.217,1738.564
2.261,1726.335
2.306,1714.84
2.356,1702.674
2.406,1689.774
2.456,1676.874
2.505,1664.097
2.552,1648.259
2.602,1629.712
2.652,1610.612
2.702,1591.512
2.745,1573.63
2.795,1555.749
2.845,1536.649
2.895,1517.549
2.945,1498.449
2.995,1479.349
3.045,1464.393
3.095,1455.348
3.14,1446.799
3.19,1438.251
3.24,1429.251
3.29,1408.735
3.34,1364.907
3.39,1320.461
3.44,1276.125
3.49,1231.791
3.54,1184.517
3.59,1131.289
3.64,1077.889
3.69,1024.489
3.74,971.089
3.79,933.713
3.84,926.102
3.89,914.008
3.94,901.758
3.99,889.508
4.04,863.002
4.09,807.633
4.14,751.433
4.19,695.233
4.24,639.033
4.29,592.5
4.34,565.536
4.39,539.136
4.44,512.736
4.49,486.336
4.54,464.088
4.59,450.246
4.64,436.646
4.69,423.046
4.74,409.446
4.79,393.121
4.84,371.28
4.89,349.28
4.94,327.28
4.99,305.28
5.04,283.767
5.09,263.238
5.14,242.738
5.19,222.238
5.24,201.738
5.29,181.238
5.34,160.738
5.39,140.238
5.44,119.738
5.49,99.238
5.54,83.377
5.59,76.906
5.64,70.706
5.69,64.506
5.74,58.306
5.79,52.106
5.84,45.906
5.89,39.706
5.94,33.506
5.99,27.306
6.04,22.371
6.09,19.997
6.14,17.697
6.19,15.397
6.24,13.097
6.29,10.797
6.34,8.497
6.39,6.197
6.44,3.897
6.49,1.597
6.5,0.224
